"GEO_ID","NAME","B06009_001E","B06009_001M","B06009_002E","B06009_002M","B06009_003E","B06009_003M","B06009_004E","B06009_004M","B06009_005E","B06009_005M","B06009_006E","B06009_006M","B06009_007E","B06009_007M","B06009_008E","B06009_008M","B06009_009E","B06009_009M","B06009_010E","B06009_010M","B06009_011E","B06009_011M","B06009_012E","B06009_012M","B06009_013E","B06009_013M","B06009_014E","B06009_014M","B06009_015E","B06009_015M","B06009_016E","B06009_016M","B06009_017E","B06009_017M","B06009_018E","B06009_018M","B06009_019E","B06009_019M","B06009_020E","B06009_020M","B06009_021E","B06009_021M","B06009_022E","B06009_022M","B06009_023E","B06009_023M","B06009_024E","B06009_024M","B06009_025E","B06009_025M","B06009_026E","B06009_026M","B06009_027E","B06009_027M","B06009_028E","B06009_028M","B06009_029E","B06009_029M","B06009_030E","B06009_030M",
"0500000US18035","Delaware County, Indiana","70214","617","5833","1294","24384","2014","21263","2266","10971","1558","7763","1348","52489","2066","4409","1177","18800","1617","17329","1938","7448","1361","4503","1040","15074","1943","1309","541","5001","1164","3448","1057","2556","733","2760","776","663","514","46","80","32","56","274","399","311","238","0","207","1988","684","69","78","551","445","212","179","656","432","500","351",
"0500000US18039","Elkhart County, Indiana","131148","847","24385","2885","48232","4091","31439","3396","17892","2429","9200","1574","75554","2857","13838","2120","30653","3145","18848","2233","8356","1540","3859","884","36664","3113","6049","2198","10682","1930","8995","1704","6476","1370","4462","1105","1494","591","410","393","430","333","372","309","160","184","122","200","17436","1722","4088","1412","6467","2094","3224","1297","2900","1273","757","494",
"0500000US18043","Floyd County, Indiana","56294","559","3137","973","15869","2273","15799","2207","13341","1935","8148","1573","24099","2581","1964","622","8323","1902","6222","1548","4878","1425","2712","773","30616","2568","964","538","7182","1171","9140","1602","8305","1421","5025","1314","413","374","0","207","287","326","126","155","0","207","0","207","1166","532","209","258","77","96","311","271","158","183","411","372",
"0500000US18053","Grant County, Indiana","43745","398","3644","1027","16996","1748","13687","1887","4931","979","4487","1167","29582","1955","1656","617","12438","1519","9597","1635","3390","844","2501","936","12387","1804","1473","735","3746","882","3939","1255","1432","664","1797","711","151","203","0","207","94","151","9","17","0","207","48","83","1625","793","515","502","718","580","142","132","109","119","141","125",
"0500000US18057","Hamilton County, Indiana","244960","858","7526","1638","38893","4298","47754","3879","95559","4197","55228","4049","124749","4626","2472","953","23444","3598","26243","3034","50642","3639","21948","2729","88881","4725","2729","1024","10830","2269","17093","2476","37261","2783","20968","2496","2062","718","0","207","414","384","304","268","557","316","787","421","29268","2503","2325","990","4205","1299","4114","1147","7099","1928","11525","1663",
"0500000US18059","Hancock County, Indiana","57464","604","2969","1144","16503","1920","17303","2115","15180","1977","5509","1164","38650","2282","1768","967","12196","1664","11503","1640","9606","1536","3577","1006","17025","2125","1154","632","3747","1046","5511","1446","5048","1529","1565","541","267","322","0","207","121","192","55","98","91","162","0","207","1522","689","47","99","439","395","234","209","435","331","367","361",
"0500000US18063","Hendricks County, Indiana","123354","932","11261","2694","35263","3651","32009","2820","31891","3157","12930","1743","72392","3540","4345","1782","22903","3202","18528","2383","19696","2431","6920","1243","37321","3030","1615","619","9458","1473","11877","2026","9731","1873","4640","1202","920","537","245","362","142","176","78","91","360","403","95","167","12721","2381","5056","2277","2760","787","1526","610","2104","729","1275","525",
"0500000US18067","Howard County, Indiana","58469","788","4212","1273","22851","2349","19471","2393","8265","1848","3670","911","42024","1736","2806","1032","17681","2131","13730","1963","5050","1325","2757","877","14299","1521","1406","588","4770","1214","4379","1128","3082","970","662","385","493","313","0","207","26","44","277","262","69","107","121","122","1653","894","0","207","374","417","1085","883","64","111","130","161",
"0500000US18081","Johnson County, Indiana","112585","708","9087","1987","29129","3229","35857","3384","22789","2653","15723","2496","71773","2858","5460","1568","21358","2881","21709","2419","13892","2137","9354","1875","30185","2990","1766","743","5942","1277","11626","2180","6964","1788","3887","1139","1687","985","78","134","335","387","1140","900","134","206","0","207","8940","1503","1783","996","1494","989","1382","730","1799","920","2482","821",
"0500000US18085","Kosciusko County, Indiana","54879","504","6835","1761","17735","1577","16631","2071","9026","1363","4652","993","35226","1956","4443","1270","12844","1393","10793","1653","4841","1114","2305","658","16506","1973","1739","786","3611","806","5191","1303","3913","965","2052","709","421","404","0","207","96","91","325","391","0","207","0","207","2726","699","653","407","1184","719","322","238","272","265","295","296",
"0500000US18089","Lake County, Indiana","341318","328","31785","3279","111478","4897","105524","4751","64020","3522","28511","2765","162191","5844","10336","2009","59321","4189","51516","3907","30215","2855","10803","1665","140474","6094","10288","1476","41629","3111","45547","3651","28622","2996","14388","2267","4581","1345","1023","624","2111","856","872","572","308","237","267","189","34072","3798","10138","2132","8417","1803","7589","1939","4875","1228","3053","1050",
"0500000US18091","LaPorte County, Indiana","78953","781","7534","1396","30812","2407","21983","2374","13231","2094","5393","1076","52717","2211","4856","1324","20973","2164","15744","2138","8260","1878","2884","840","22155","2001","1178","372","8656","1682","5691","1207","4425","967","2205","572","479","396","60","109","130","195","260","336","29","49","0","207","3602","1386","1440","725","1053","675","288","216","517","475","304","358",
"0500000US18095","Madison County, Indiana","92123","760","9130","1697","33934","2677","30054","2503","13007","1605","5998","1179","66037","2528","6101","1228","24627","1931","23096","2362","8447","1326","3766","909","23046","2406","2269","735","8290","1903","6746","1412","4015","1011","1726","570","789","446","40","60","338","225","111","141","219","219","81","97","2251","698","720","580","679","451","101","108","326","348","425","347",
"0500000US18097","Marion County, Indiana","639061","174","79573","5923","162937","7238","168525","7053","144709","6350","83317","5389","362449","9082","37570","4186","100087","6302","100927","5832","83524","5528","40341","3628","178110","7639","13627","1917","38334","4417","48215","4756","45120","3185","32814","3819","5968","1584","257","222","1866","1116","1302","575","851","393","1692","866","92534","6363","28119","4279","22650","4249","18081","3601","15214","3178","8470","1942",
